"Materials Table.  Posted Version 12.7, 8-Feb-2012",,,,,,,,,Added cost calculation,,,,
168,"Carbon Fiber, 1 Ply",Any,Composite, $200.00 ,kg,,,,,,,,Dry or Pre-Preg.  Both include resin.  Hand trimming allowed.
169,"Carbon Fiber Reinf Silicon Carbide, Brake Rotors",Any,Composite, $0.0092 ,mm^3,,,,,,,19-Apr-09,Note: actual cost is $0.0092 even though display shows $0.01 actual value is used in math.
170,"Carbon Fiber Reinf Silicon Carbide, Brake Pads",Any,Composite, $0.0012 ,mm^3,,,,,,,19-Apr-09,Note: actual cost is $0.0012 even though display shows $0.01 actual value is used in math.
171,Carbon Fiber Reinf Carbon,Any,Composite, $0.0092 ,mm^3,,,,,,,19-Apr-09,Note: actual cost is $0.0092 even though display shows $0.01 actual value is used in math.
172,"Carbon Fiber Tubes, Purchased (All Cost as Made)",Any,Composites, $-   ,unit,,,,,,,8-Mar-09,This item should be cost as made whether the team made it or bought it.  Please see Rule C3.12 for more information.
173,"Composite Tubes, Purchased (All Cost as Made)",Any,Composites, $-   ,unit,,,,,,,8-Mar-09,This item should be cost as made whether the team made it or bought it.  Please see Rule C3.12 for more information.
174,"Composite Panel Insert, Press Fit, Torlon",Torlon,Composites, $2.00 ,unit,,,,,,,22-Apr-09,Any Size
175,"Composite Panel Insert, Potted-in (NAS) Style, Torlon",Torlon,Composites, $2.00 ,unit,,,,,,,22-Apr-09,Any Size
176,"Glass Fiber, 1 Ply",Any,Composite, $100.00 ,kg,,,,,,,,e.g. S-Glass.  Dry or Pre-preg.  Both include resin.  Hand trimming allowed.
177,"Honeycomb, Aluminum",Any,Composite, $50.00 ,kg,,,,,,,,Any cell size and density.  Hand trimming allowed.
178,"Honeycomb, Cardboard",Any,Composite, $10.00 ,kg,,,,,,,1-Mar-09,Any cell size and density.  Hand trimming allowed.
179,"Honeycomb, Nomex",Any,Composite, $125.00 ,kg,,,,,,,,Any cell size and density.  Hand trimming allowed.
180,"Honeycomb, Plastic",Any,Composite, $20.00 ,kg,,,,,,,26-Mar-09,
181,"Polypropylene, High Modulus",Any,Composite, $35.00 ,kg,,,,,,,20-Apr-10,Includes 'Tegris' and 'Innegra' fibers
182,Structural Foam,Any,Composite, $125.00 ,kg,,,,,,,,Any cell size and density.  Hand trimming allowed.
183,"Chassis Cntrl Module, +Active Differential",Student Built,Control Module, $125.00 ,unit,,,,,,,2-Mar-09,"Includes circuit board and circuitry for processing necessary inputs (wheel speed, axle speed, etc) and differential control outputs.  Required Chassis Control Module, Baseline Enclosure.    Sensors and wiring harness not included."
184,"Chassis Control Module, +Active Suspension",Student Built,Control Module, $125.00 ,unit,,,,,,,2-Mar-09,"Includes circuit board and circuitry necessary inputs (damper position, velocity, etc) and damper control outputs.  Required Chassis Control Module, Baseline Enclosure.  Sensors and wiring harness not included."
185,"Chassis Control Module, +Automatic Shifter",Student Built,Control Module, $5.00 ,unit,,,,,,,2-Mar-09,"Includes circuit board and circuitry for processing sensor input from engine, output to shifter.  Required Chassis Control Module, Baseline Enclosure.  Sensors and wiring harness not included."
186,"Chassis Control Module, +Battery Charger",Student Built,Control Module, $10.00 ,unit,,,,,,,2-Mar-09,"Includes circuit board and circuitry for processing battery health input from pack and charging outputs.  Required Chassis Control Module, Baseline Enclosure.  Sensors and wiring harness not included."
187,"Chassis Control Module, +Dashboard",Student Built,Control Module, $20.00 ,unit,,,,,,,2-Mar-09,"Includes circuit board and circuitry for processing sensor inputs and dashbboard outputs.  Required Chassis Control Module, Baseline.  Sensors and wiring harness not included."
188,"Chassis Control Module, +Dashboard",Student Built,Control Module, $5.00 ,unit,,,,,,,2-Mar-09,"Includes circuit board and circuitry for processing sensor input and output to one (1) engine actuator device.  Include once per actuator in the chassis control module.  Required Chassis Control Module, Baseline.  Sensors and wiring harness not included."
189,"Chassis Control Module, +Traction Control",Student Built,Control Module, $150.00 ,unit,,,,,,,2-Mar-09,"Includes circuit board and circuitry for processing sensor input from engine, output to shifter.  Required Chassis Control Module, Baseline Enclosure.  Sensors and wiring harness not included."
190,"Chassis Control Module, Baseline Enclosure",Student Built,Control Module, $25.00 ,unit,,,,,,,2-Mar-09,Includes enclosure.  This item must be included for all chassis control modules.  Add functionality by adding additional line items.
191,"Controller, Active Differential",Any,Control Module, $200.00 ,unit,,,,,,,,
192,"Controller, Active Suspension",Any,Control Module, $200.00 ,unit,,,,,,,,
193,"Datalogger, Aim EVO4",AIM,Control Module, $700.00 ,unt,,,,,,,23-May-10,No screen data logger
194,"Datalogger, Motec, ADL",MoTeC,Control Module," $3,700.00 ",unit,,,,,,,19-Apr-09,
195,"Datalogger, Motec, ADL2",MoTeC,Control Module," $3,900.00 ",unit,,,,,,,19-Apr-09,
196,"ECU, AEM Plug & Play, AVM-30-1052U",AEM,Control Module, $725.00 ,unit,,,,,,,,
197,"ECU, AEM Wire & Play",AEM,Control Module, $751.93 ,unit,,,,,,,,
198,"ECU, Autronic, SM4",Autronic,Control Module," $1,150.00 ",unit,,,,,,,19-Apr-09,
199,"ECU, Bosch Motorsport, HPI Box 1.1",Bosch,Control Module," $1,200.00 ",unit,,,,,,,23-May-10,
200,"ECU, Bosch Motorsport, MS3 Sport",Bosch,Control Module, $952.00 ,unit,,,,,,,4-May-09,
201,"ECU, Bosch Motorsport, MS4.0 Sport",Bosch,Control Module," $1,100.00 ",unit,,,,,,,23-Apr-09,
202,"ECU, Bosch Motorsport, MS4.4 Sport, F01TA20068",Bosch,Control Module," $1,400.00 ",unit,,,,,,,3-Apr-09,
203,"ECU, DTA, S40 Pro",DTA,Control Module, $495.00 ,unit,,,,,,,20-Apr-10,
204,"ECU, DTA, S60 Pro",DTA,Control Module, $750.00 ,unit,,,,,,,20-Apr-10,
205,"ECU, DTA, S80 Pro",DTA,Control Module, $850.00 ,unit,,,,,,,20-Apr-10,
206,"ECU, DTA, S100 Pro",DTA,Control Module, $950.00 ,unit,,,,,,,20-Apr-10,
207,"ECU, Dynojet, Power Commender III USB",Dynojet,Control Module, $175.00 ,unit,,,,,,,,Requires OEM ECU to also be included in cost
208,"ECU, Electromotive, TEC-GT",Electromotive,Control Module," $1,000.00 ",unit,,,,,,,,
209,"ECU, EngineLab, EL1140L",EngineLab,Control Module," $1,250.00 ",unit,,,,,,,1-Mar-10,
210,"ECU, Haltech, E11v2",Haltech,Control Module, $966.00 ,unit,,,,,,,,"6,8 c seq"
211,"ECU, Haltech, E6x",Haltech,Control Module, $590.00 ,unit,,,,,,,,"4,6,8 c"
212,"ECU, Haltech, E8",Haltech,Control Module, $762.00 ,unit,,,,,,,,4 c seq
213,"ECU, Haltech, PS1000",Haltech,Control Module, $536.00 ,unit,,,,,,,1-Jun-09,
214,"ECU, Haltech, Platinum Sport 2000 Long Flying Lead Kit",Haltech,Control Module, $850.00 ,unit,,,,,,,,
215,"ECU, Link, G4 Storm",Link,Control Module, $647.50 ,unit,,,,,,,27-Mar-09,
216,"ECU, McLaren MESL TAG-400",McLaren Electronic Systems,Control Module," $2,500.00 ",unit,,,,,,,23-May-10,
217,"ECU, Megasquirt",Megasquirt,Control Module, $400.00 ,unit,,,,,,,,Assembled with case
218,"ECU, Magneti Marelli, SRA-E",Magneti Marelli,Control Module, $870.00 ,unit,,,,,,,4-May-09,
219,"ECU, Magneti Marelli, SRA-EDL 4",Magneti Marelli,Control Module," $1,275.00 ",unit,,,,,,,4-May-09,
220,"ECU, Magneti Marelli, SRA-EDL 8",Magneti Marelli,Control Module," $1,275.00 ",unit,,,,,,,4-May-09,
221,"ECU, Magneti Marelli, SRT-E",Magneti Marelli,Control Module," $1,945.00 ",unit,,,,,,,4-May-09,
222,"ECU, Magneti Marelli, SRT-EDL 16",Magneti Marelli,Control Module," $2,345.00 ",unit,,,,,,,4-May-09,
223,"ECU, Magneti Marelli, SRT-EDL 32",Magneti Marelli,Control Module," $2,745.00 ",unit,,,,,,,4-May-09,
224,"ECU, Microsquirt",Megasquirt,Control Module, $400.00 ,unit,,,,,,,,Assembled with case
225,"ECU, MoTeC, IEX - Ignition Expander",MoTeC,Control Module, $150.00 ,unit,,,,,,,26-Apr-09,
226,"ECU, MoTeC, M4",MoTeC,Control Module," $1,050.00 ",unit,,,,,,,,
227,"ECU, MoTeC, M400",MoTeC,Control Module," $1,615.00 ",unit,,,,,,,,
228,"ECU, MoTeC, M48",MoTeC,Control Module," $1,236.00 ",unit,,,,,,,,
229,"ECU, MoTeC, M600",MoTeC,Control Module," $1,650.00 ",unit,,,,,,,20-Mar-10,
230,"ECU, MoTeC, M800",MoTeC,Control Module," $1,500.00 ",unit,,,,,,,27-Nov-10,
231,"ECU, MoTeC, M800",MoTeC,Control Module," $1,650.00 ",unit,,,,,,,8-Mar-09,
232,"ECU, MoTeC, TCMUX - Traction Control Multiplexer",MoTeC,Control Module, $150.00 ,unit,,,,,,,26-Apr-09,
233,"ECU, Nira, i3+",Nira,Control Module, $786.00 ,unit,,,,,,,18-Apr-10,
234,"ECU, OEM Spark & Fuel",Any OEM,Control Module, $500.00 ,unit,,,,,,,,
235,"ECU, OEM Spark Only",Any OEM,Control Module, $250.00 ,unit,,,,,,,,
236,"ECU, OEM Spark, Fuel & Traction Control",Any OEM,Control Module, $750.00 ,unit,,,,,,,,
237,"ECU, Pectel, SQ-6 ECU",,Control Module," $1,990.00 ",,,,,,,,,
238,"ECU, Performance Electronics, PE-ECU-1",Performance Electronics,Control Module, $500.00 ,unit,,,,,,,,
239,"ECU, Performance Electronics, PE-ECU-3",Performance Electronics,Control Module, $535.00 ,unit,,,,,,,8-Feb-12,
240,"ECU, Simple Digital Systems, EM-4 D ",Simple Digital Systems,Control Module, $486.50 ,unit,,,,,,,,
241,"ECU, Simple Digital Systems, EM-4 E/MSD ",Simple Digital Systems,Control Module, $582.50 ,unit,,,,,,,,"e.g. 1010, 1025 etc."
242,"ECU, Simple Digital Systems, EM-4 F ",Simple Digital Systems,Control Module, $572.50 ,unit,,,,,,,,"e.g. 4130, Chrome Moly, etc."
243,"ECU, Sodemo Moteurs, EV11/4",Sodemo Moteurs,Control Module, $693.00 ,unit,,,,,,,,
244,"ECU, Student Built, +Active Diff",Student Built,Control Module, $125.00 ,unit,,,,,,,,In addition to cost of base student built ECU
245,"ECU, Student Built, +Traction Control",Student Built,Control Module, $150.00 ,unit,,,,,,,,In addition to cost of base student built ECU
246,"ECU, Student Built, Spark & Fuel",Student Built,Control Module, $375.00 ,unit,,,,,,,,"Housing, connector included"
247,"ECU, Student Built, Spark Only",Student Built,Control Module, $190.00 ,unit,,,,,,,,"Housing, connector included"
248,"ECU, Trecs, Model II",Trecs,Control Module, $803.00 ,unit,,,,,,,18-Apr-10,
249,"ECU, Trikejt Plus",Trijekt,Control Module, $760.00 ,unit,,,,,,,9-May-10,
250,"ECU, VEMS, v3",Versatile Engine Management System,Control Module, $400.00 ,unit,,,,,,,18-Apr-10,
251,"Cable, Pull",Any,Controls, $15.00 ,m,,,,,,,,Includes cable and housing and integral moutnings at both ends.  Mounting hardware not included
252,"Cable, Push/Pull",Any,Controls, $30.00 ,m,,,,,,,,Includes cable and housing and integral moutnings at both ends.  Mounting hardware not included
253,"Damper, AVO, 1.9"" Alum Dbl Adj (DAAWA100/75)",AVO,Damper, $145.00 ,unit,,,,,,,23-May-10,
254,"Damper, Cane Creek Double Barrel",Cane Creek,Damper, $300.00 ,unit,,,,,,,,
255,"Damper, Elka Stage-5 MTB",Elka,Damper, $225.00 ,unit,,,,,,,23-Feb-09,
256,"Damper, Fox DHX 5.0",Fox,Damper, $210.00 ,unit,,,,,,,,
257,"Damper, Fox Van R",Fox,Damper, $125.00 ,unit,,,,,,,,
258,"Damper, Fox Vanilla R",Fox,Damper, $190.00 ,unit,,,,,,,,
259,"Damper, Kind Shock, KS-504",Kind Shock,Damper, $78.00 ,unit,,,,,,,18-Apr-10,
260,"Damper, Koni 3012",Koni,Damper, $250.00 ,unit,,,,,,,1-Mar-09,
261,"Damper, Koni, Trax Spax DA, Single Adjustable",Koni,Damper, $145.00 ,unit,,,,,,,19-Apr-09,
262,"Damper, Koni, Trax Spax DA, Double Adjustable",Koni,Damper, $181.00 ,unit,,,,,,,19-Apr-09,
263,"Damper, KW GFw 3-Way Adjustable",KW,Damper, $375.00 ,unit,,,,,,,23-May-10,
264,"Damper, Manitou, Swinger 4 Way",Manitou,Damper, $100.00 ,unit,,,,,,,26-Mar-09,Damper cost without spring
265,"Damper, Marzocchi, Roco TST R",Marzocchi,Damper, $135.00 ,unit,,,,,,,1-Mar-09,Damper cost without spring
266,"Damper, Ohlins SD115",Ohlins,Damper, $189.00 ,unit,,,,,,,23-May-10,
267,"Damper, Ohlins ST44",Ohlins,Damper, $325.00 ,unit,,,,,,,,
268,"Damper, Ohlins TTX 25",Ohlins,Damper, $305.00 ,unit,,,,,,,9-May-10,
269,"Damper, Ohlins TTX 36",Ohlins,Damper, $500.00 ,unit,,,,,,,23-May-10,
270,"Damper, Penske 7800-Non-Adjustable Quarter Midget",Penske,Damper, $117.50 ,unit,,,,,,,3-May-10,Non-adjustable Quarter Midget
271,"Damper, Penske 7800-Piggyback Dbl. Adj. (Kaz Tech.)",Penske/Kaz Tech,Damper, $337.50 ,unit,,,,,,,3-May-10,"Piggyback, Double Adjustable"
272,"Damper, Penske 7800-Piggyback Non-Adj.(Kaz Tech.)",Penske/Kaz Tech,Damper, $255.00 ,unit,,,,,,,3-Apr-11,"Piggyback, Non-adjustable"
273,"Damper, Penske 8100",Penske,Damper, $400.00 ,unit,,,,,,,23-Feb-09,
274,"Damper, Penske 8300",Penske,Damper, $412.50 ,unit,,,,,,,,
275,"Damper, Penske 8760",Penske,Damper, $660.00 ,unit,,,,,,,,
276,"Damper, Risse Jupiter 5",Risse Racing,Damper, $175.00 ,unit,,,,,,,,
277,"Damper, Risse Jupiter 5R",Risse Racing,Damper, $200.00 ,unit,,,,,,,,
278,"Damper, Risse Jupiter 7R",Risse Racing,Damper, $300.00 ,unit,,,,,,,,
279,"Damper, Tanner",Tanner,Damper, $85.00 ,unit,,,,,,,,
280,"Damper, Team Built",Team,Damper, $-   ,unit,,,,,,,,
281,"Damper, Team Built, Reservoir Bladder",Any,Damper, $5.00 ,unit,,,,,,,26-Mar-09,
282,"Damper, X-Fusion Vektor DH 1.0",X-Fusion,Damper, $170.00 ,unit,,,,,,,24-May-10,
283,"Damper, ZF Sachs, ETX36/15x",ZF Sachs,Damper, $360.00 ,unit,,,,,,,23-Feb-09,
284,"Damper, ZF Sachs, RD 36-2",ZF Sachs,Damper, $370.00 ,unit,,,,,,,31-Mar-10,
285,Axle (All Cost as Made),Any,Drivetrain, $-   ,unit,,,,,,,20-Mar-10,This item should be cost as made whether the team made it or bought it.  Please see Rule C3.12 for more information.
286,Axle Snubber,Any,Drivetrain, $2.50 ,unit,,,,,,,19-Apr-09,For example Taylor Race Engineering  plastic snubber
287,Belt,Any,Drivetrain, $0.05 ,mm,,,,,,,,
288,Chain,Any,Drivetrain, $0.05 ,mm,,,,,,,,Master link included in price of chain.
289,Chain Guard (All Cost as Made),Any,Drivetrain, $-   ,unit,,,,,,,26-Mar-10,This item should be cost as made whether the team made it or bought it.  Please see Rule C3.12 for more information.
290,"Constant Velocity Joint, Boot",Any,Drivetrain, $5.00 ,unit,,,,,,,,
291,"Constant Velocity Joint, Housing (All Cost as Made)",Any,Drivetrain, $-   ,unit,,,,,,,7-May-11,This item should be cost as made whether the team made it or bought it.  Please see Rule C3.12 for more information.
292,"Constant Velocity Joint, Plug, Axial Locating",Any,Drivetrain, $2.50 ,unit,,,,,,,19-Apr-09,For example Taylor Race Engineering  plastic snubber
293,"Constant Velocity Joint, Rzepa Plunging",Any,Drivetrain, $20.00 ,unit,,,,,,,7-May-11,"6-Ball plunging, includes grease, does not inlucde housing which is cost as made"
294,"Constant Velocity Joint, Rzeppa Fixed",Any,Drivetrain, $20.00 ,unit,,,,,,,7-May-11,"6-Ball Non-plunging, includeas grease, does not inlucde housing which is cost as made"
295,"Constant Velocity Joint, Tripod",Any,Drivetrain, $45.00 ,unit,,,,,,,7-May-11,"3-Needle bearing plunging, includes grease, does not inlucde housing which is cost as made"
296,"Constant Velocity Joint, Stub-shaft (All Cost as Made)",Any,Drivetrain, $-   ,unit,,,,,,,7-May-11,This item should be cost as made whether the team made it or bought it.  Please see Rule C3.12 for more information.
297,Differential Housing (All Cost as Made),Any,Drivetrain, $-   ,unit,,,,,,,,This item should be cost as made whether the team made it or bought it.  Please see Rule C3.12 for more information.
298,"Differential Internals, Limited Slip, Cam & Pawl",Any,Drivetrain, $110.00 ,unit,,,,,,,1-Mar-09,
299,"Differential Internals, Limited Slip, Quaife",Quaife,Drivetrain, $165.00 ,unit,,,,,,,21-Apr-09,
300,"Differential Internals, Limited Slip, Salisbury or Powerflow or Clutch Style",Any,Drivetrain, $110.00 ,unit,,,,,,,,
301,"Differential Internals, Limited Slip, Torsen T1",Torsen,Drivetrain, $165.00 ,unit,,,,,,,,
302,"Differential Internals, Limited Slip, Torsen T2",Torsen,Drivetrain, $165.00 ,unit,,,,,,,,
303,"Differential Internals, Open Gearset (Any)",Any,Drivetrain, $60.00 ,unit,,,,,,,,
304,Half Shaft (All Cost as Made),Any,Drivetrain, $-   ,unit,,,,,,,,This item should be cost as made whether the team made it or bought it.  Please see Rule C3.12 for more information.
305,Pulley (All Cost as Made),Any,Drivetrain, $-   ,unit,,,,,,,,This item should be cost as made whether the team made it or bought it.  Please see Rule C3.12 for more information.
306,Sprocket (All Cost as Made),Any,Drivetrain, $-   ,unit,,,,,,,,This item should be cost as made whether the team made it or bought it.  Please see Rule C3.12 for more information.
307,Universal Joint,Any,Drivetrain, $20.00 ,unit,,,,,,,,
308,"Battery, Advanced Chemistry (NiMH, Li-Ion, etc.)",Any,Electronics, $65.00 ,kg,,,,,,,,
309,"Battery, Lead Acid",Any,Electronics, $3.00 ,kg,,,,,,,,
310,"Circuit Breaker, Thermal, Klixon 7277-2-20",Klixon,Electronics, $8.80 ,unit,,,,,,,19-Apr-09,
311,"Connector, Aerospace Quality",Any,Electronics, $1.00 ,pin(s),,,,,,,,
312,"Connector, Computer  Type",Any,Electronics, $1.00 ,pin(s),,,,,,,,"Seriel, Parallel, USB, Firewire, etc."
313,"Connector, High Power, > 2 Amps",Any,Electronics, $2.00 ,pin(s),,,,,,,,"Vehicle power, starter, alternator, etc."
314,"Connector, OEM Quality",Any,Electronics, $0.50 ,pin(s),,,,,,,,
315,"Connector, Single Wire",Any,Electronics, $0.05 ,wire,,,,,,,,"Any style, any size, per wire end.  Includes, ring, spade, bullet, etc."
316,"Dashpanel, Haltech, Racepak IQ3 Display",Haltech,Electronics, $383.00 ,unit,,,,,,,1-Mar-10,
317,"Display, 7 Segment",Any,Electronics, $1.00 ,digit,,,,,,,,Each digit can represent a single character alpha or numeric
318,"Display, LCD (for Student Built Elect. Only), Area",Any,Electronics,[C1]*[Size1]+[C2],cm^2,,1.25,0,0,,0,2-Mar-09,"[Size1]=Display surface area (cm^2).  LCD Display when incorporated into or driven off student built electroincs.  Not to be used in place of purchased displays that are part of data acquisition systems, engine controllers, etc."
319,"Display, LCD (for Student Built Elect. Only), Rect",Any,Electronics,[C1]*[Size1]*[Size2]+[C2],cm,cm,1.25,0,0,0, $-   ,25-Feb-09,"LCD Display when incorporated into or driven off student built electroincs.  Not to be used in place of purchased displays that are part of data acquisition systems, engine controllers, etc."
320,"Display, Matrix",Any,Electronics, $2.00 ,digit,,,,,,,,Each digit can represent a single character alpha or numeric
321,Fuse Box,Any,Electronics, $0.25 ,pin(s),,,,,,,,Use 2 x Number of Fuses and relays to calculate number of pins
322,"Fuse, Control",Any,Electronics, $0.50 ,unit,,,,,,,,
323,"Fuse, Power",Any,Electronics, $1.00 ,unit,,,,,,,,
324,"Fuse, Signal",Any,Electronics, $0.50 ,unit,,,,,,,,
325,"Gauge, Analog",Any,Electronics, $5.00 ,unit,,,,,,,,"Any use such as RPM, pressure, temperature, etc.  Includes driver (motor, etc) and needle."
326,"Gauge, Analog Housing",Any,Electronics, $8.00 ,unit,,,,,,,,"Used with Gauge, Analog when mounted not integrated into the instrument panel."
327,"Gauge, Digital Pro Shifter System, 6187",Autometer,Electronics, $85.00 ,unit,,,,,,,,
328,Heat Shrink Tubing,Any,Electronics, $0.50 ,m,,,,,,,,
329,"Lamp, Brake with Housing",Any,Electronics, $4.00 ,unit,,,,,,,,
330,"Lamp, Incandescent",Any,Electronics, $2.00 ,unit,,,,,,,,
331,"Lamp, LED",Any,Electronics, $0.50 ,unit,,,,,,,,
332,"Motor, 12 Volt, DC Brush",Any,Electronics, $20.00 ,unit,,,,,,,,Used for general actuation.  For more specefic motors please submit an Add Item RequeSteel
333,"Motor, 12 Volt, DC Brushless Servo",Any,Electronics, $40.00 ,unit,,,,,,,,Used for general actuation.  For more specefic motors please submit an Add Item RequeSteel
334,"Relay, Control",Any,Electronics, $2.00 ,unit,,,,,,,,
335,"Relay, Power",Any,Electronics, $4.00 ,unit,,,,,,,,
336,"Relay, Signal",Any,Electronics, $2.00 ,unit,,,,,,,,
337,Sensor to CAN Converter,Any,Electronics, $25.00 ,unit,,,,,,,,Converts analog or digital sensor input to CAN output
338,"Servo, 12V",Any,Electronics, $25.00 ,unit,,,,,,,3-Mar-09,Radio Controlled Hobby style servo with built in gear reduction.
